period,respondent,fueltype,value
2021-01-24T20,ERCO,SUN,2314
2021-01-24T21,ERCO,SUN,2590
2021-01-24T22,ERCO,SUN,2368
2021-01-24T23,ERCO,SUN,1511
2021-01-25T00,ERCO,SUN,315
2021-01-25T01,ERCO,SUN,2
2021-01-25T02,ERCO,SUN,0
2021-01-25T03,ERCO,SUN,0
2021-01-25T04,ERCO,SUN,0
2021-01-25T05,ERCO,SUN,0
2021-01-25T06,ERCO,SUN,0
2021-01-25T07,ERCO,SUN,0
2021-01-25T08,ERCO,SUN,0
2021-01-25T09,ERCO,SUN,0
2021-01-25T10,ERCO,SUN,0
2021-01-25T11,ERCO,SUN,0
2021-01-25T12,ERCO,SUN,0
2021-01-25T13,ERCO,SUN,0
2021-01-25T14,ERCO,SUN,10
2021-01-25T15,ERCO,SUN,1243
2021-01-25T16,ERCO,SUN,3074
2021-01-25T17,ERCO,SUN,3106
2021-01-25T18,ERCO,SUN,2502
2021-01-25T19,ERCO,SUN,2246
2021-01-25T20,ERCO,SUN,2304
2021-01-25T21,ERCO,SUN,1860
2021-01-25T22,ERCO,SUN,1770
2021-01-25T23,ERCO,SUN,1450
2021-01-26T00,ERCO,SUN,858
2021-01-26T01,ERCO,SUN,15
2021-01-26T02,ERCO,SUN,0
2021-01-26T03,ERCO,SUN,0
2021-01-26T04,ERCO,SUN,0
2021-01-26T05,ERCO,SUN,0
2021-01-26T06,ERCO,SUN,0
2021-01-26T07,ERCO,SUN,0
2021-01-26T08,ERCO,SUN,0
2021-01-26T09,ERCO,SUN,0
2021-01-26T10,ERCO,SUN,0
2021-01-26T11,ERCO,SUN,0
2021-01-26T12,ERCO,SUN,0
2021-01-26T13,ERCO,SUN,0
2021-01-26T14,ERCO,SUN,15
2021-01-26T15,ERCO,SUN,1281
2021-01-26T16,ERCO,SUN,3662
2021-01-26T17,ERCO,SUN,4283
2021-01-26T18,ERCO,SUN,4226
2021-01-26T19,ERCO,SUN,4096
2021-01-26T20,ERCO,SUN,4037
2021-01-26T21,ERCO,SUN,4124
2021-01-26T22,ERCO,SUN,4036
2021-01-26T23,ERCO,SUN,3371
2021-01-27T00,ERCO,SUN,1156
2021-01-27T01,ERCO,SUN,11
2021-01-27T02,ERCO,SUN,0
2021-01-27T03,ERCO,SUN,0
2021-01-27T04,ERCO,SUN,0
2021-01-27T05,ERCO,SUN,0
2021-01-27T06,ERCO,SUN,6
2021-01-27T07,ERCO,SUN,0
2021-01-27T08,ERCO,SUN,0
2021-01-27T09,ERCO,SUN,0
2021-01-27T10,ERCO,SUN,0
2021-01-27T11,ERCO,SUN,0
2021-01-27T12,ERCO,SUN,0
2021-01-27T13,ERCO,SUN,0
2021-01-27T14,ERCO,SUN,20
2021-01-27T15,ERCO,SUN,1425
2021-01-27T16,ERCO,SUN,3974
2021-01-27T17,ERCO,SUN,4358
2021-01-27T18,ERCO,SUN,4414
2021-01-27T19,ERCO,SUN,4440
2021-01-27T20,ERCO,SUN,4515
2021-01-27T21,ERCO,SUN,4633
2021-01-27T22,ERCO,SUN,4722
2021-01-27T23,ERCO,SUN,4074
2021-01-28T00,ERCO,SUN,1387
2021-01-28T01,ERCO,SUN,16
2021-01-28T02,ERCO,SUN,0
2021-01-28T03,ERCO,SUN,0
2021-01-28T04,ERCO,SUN,0
2021-01-28T05,ERCO,SUN,0
2021-01-28T06,ERCO,SUN,0
2021-01-28T07,ERCO,SUN,0
2021-01-28T08,ERCO,SUN,0
2021-01-28T09,ERCO,SUN,0
2021-01-28T10,ERCO,SUN,0
2021-01-28T11,ERCO,SUN,0
2021-01-28T12,ERCO,SUN,0
2021-01-28T13,ERCO,SUN,0
2021-01-28T14,ERCO,SUN,27
2021-01-28T15,ERCO,SUN,705
2021-01-28T16,ERCO,SUN,1624
2021-01-28T17,ERCO,SUN,2715
2021-01-28T18,ERCO,SUN,3559
2021-01-28T19,ERCO,SUN,3554
2021-01-28T20,ERCO,SUN,3781
2021-01-28T21,ERCO,SUN,3739
2021-01-28T22,ERCO,SUN,2749
2021-01-28T23,ERCO,SUN,1698
2021-01-29T00,ERCO,SUN,296
2021-01-29T01,ERCO,SUN,4
2021-01-29T02,ERCO,SUN,0
2021-01-29T03,ERCO,SUN,0
2021-01-29T04,ERCO,SUN,0
2021-01-29T05,ERCO,SUN,0
2021-01-29T06,ERCO,SUN,0
2021-01-29T07,ERCO,SUN,0
2021-01-29T08,ERCO,SUN,0
2021-01-29T09,ERCO,SUN,0
2021-01-29T10,ERCO,SUN,0
